carrier,flight,month_name,time_hour,dep_delay,arr_delay,dep_delay_cat,arr_delay_cat
UA,1168,April,2013-04-12T22:00:00Z,61,33,Late,Late
VX,407,February,2013-02-28T14:00:00Z,-1,-50,Kind of on time,Early
DL,1174,August,2013-08-22T15:00:00Z,0,-6,Kind of on time,Kind of on time
UA,1722,July,2013-07-31T10:00:00Z,5,-12,Kind of on time,Kind of on time
B6,1801,September,2013-09-11T20:00:00Z,-2,-10,Kind of on time,Kind of on time
EV,4212,January,2013-01-06T20:00:00Z,4,4,Kind of on time,Kind of on time
UA,671,August,2013-08-26T11:00:00Z,-7,-31,Kind of on time,Early
EV,4567,December,2013-12-23T15:00:00Z,14,28,Kind of on time,Kind of on time
WN,165,July,2013-07-18T17:00:00Z,12,-5,Kind of on time,Kind of on time
FL,778,July,2013-07-22T22:00:00Z,365,344,Late,Late
MQ,4579,January,2013-01-04T20:00:00Z,42,41,Late,Late
DL,141,June,2013-06-22T20:00:00Z,-2,-9,Kind of on time,Kind of on time
US,1032,May,2013-05-27T10:00:00Z,-6,-7,Kind of on time,Kind of on time
UA,1071,April,2013-04-09T00:00:00Z,-7,-17,Kind of on time,Kind of on time
AA,301,August,2013-08-21T10:00:00Z,-3,-15,Kind of on time,Kind of on time
DL,2247,August,2013-08-29T17:00:00Z,-2,-6,Kind of on time,Kind of on time
UA,671,August,2013-08-20T10:00:00Z,4,-13,Kind of on time,Kind of on time
WN,218,December,2013-12-16T14:00:00Z,-1,-8,Kind of on time,Kind of on time
UA,512,January,2013-01-02T22:00:00Z,1,-21,Kind of on time,Kind of on time
US,2175,May,2013-05-01T17:00:00Z,-7,2,Kind of on time,Kind of on time
AA,319,June,2013-06-03T13:00:00Z,-2,-30,Kind of on time,Kind of on time
DL,417,November,2013-11-21T20:00:00Z,-6,27,Kind of on time,Kind of on time
EV,4315,March,2013-03-09T13:00:00Z,10,-22,Kind of on time,Kind of on time
EV,4131,November,2013-11-22T23:00:00Z,-10,-7,Kind of on time,Kind of on time
DL,1942,September,2013-09-25T19:00:00Z,-4,5,Kind of on time,Kind of on time
DL,1935,September,2013-09-30T19:00:00Z,-6,-27,Kind of on time,Kind of on time
EV,4092,March,2013-03-14T20:00:00Z,41,23,Late,Kind of on time
AA,785,February,2013-02-10T22:00:00Z,26,21,Kind of on time,Kind of on time
9E,3361,January,2013-01-02T00:00:00Z,5,16,Kind of on time,Kind of on time
B6,189,October,2013-10-16T12:00:00Z,48,51,Late,Late
MQ,3075,October,2013-10-03T19:00:00Z,35,18,Late,Kind of on time
UA,1663,October,2013-10-31T17:00:00Z,8,-15,Kind of on time,Kind of on time
MQ,3386,October,2013-10-21T15:00:00Z,-5,-13,Kind of on time,Kind of on time
DL,2002,December,2013-12-03T12:00:00Z,2,11,Kind of on time,Kind of on time
DL,1485,April,2013-04-14T23:00:00Z,-6,34,Kind of on time,Late
B6,705,May,2013-05-10T18:00:00Z,5,10,Kind of on time,Kind of on time
UA,743,May,2013-05-21T10:00:00Z,0,-25,Kind of on time,Kind of on time
UA,1053,September,2013-09-22T22:00:00Z,45,34,Late,Late
B6,2302,September,2013-09-20T20:00:00Z,-2,-20,Kind of on time,Kind of on time
DL,1576,October,2013-10-22T22:00:00Z,-3,-2,Kind of on time,Kind of on time
MQ,3374,July,2013-07-16T23:00:00Z,-9,-10,Kind of on time,Kind of on time
MQ,4425,March,2013-03-17T16:00:00Z,15,17,Kind of on time,Kind of on time
B6,299,October,2013-10-07T21:00:00Z,121,105,Late,Late
DL,1685,August,2013-08-23T17:00:00Z,19,29,Kind of on time,Kind of on time
MQ,4573,May,2013-06-01T01:00:00Z,7,-5,Kind of on time,Kind of on time
9E,3525,July,2013-07-02T23:00:00Z,21,54,Kind of on time,Late
WN,3696,April,2013-04-03T23:00:00Z,0,-18,Kind of on time,Kind of on time
MQ,3461,July,2013-07-31T15:00:00Z,-10,11,Kind of on time,Kind of on time
B6,209,February,2013-02-13T17:00:00Z,-1,-13,Kind of on time,Kind of on time
