year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,4,12,1915,1814,61,2148,2115,33,UA,1168,N75436,EWR,LAS,300,2227,18,14,2013-04-12T22:00:00Z
2013,2,28,904,905,-1,1145,1235,-50,VX,407,N626VA,JFK,LAX,315,2475,9,5,2013-02-28T14:00:00Z
2013,8,22,1154,1154,0,1447,1453,-6,DL,1174,N3739P,LGA,PBI,137,1035,11,54,2013-08-22T15:00:00Z
2013,7,31,627,622,5,848,900,-12,UA,1722,N75436,EWR,MCO,124,937,6,22,2013-07-31T10:00:00Z
2013,9,11,1633,1635,-2,1941,1951,-10,B6,1801,N630JB,JFK,FLL,152,1069,16,35,2013-09-11T20:00:00Z
2013,1,6,1508,1504,4,1644,1640,4,EV,4212,N18101,EWR,RDU,75,416,15,4,2013-01-06T20:00:00Z
2013,8,26,707,714,-7,944,1015,-31,UA,671,N807UA,EWR,PDX,316,2434,7,14,2013-08-26T11:00:00Z
2013,12,23,1024,1010,14,1254,1226,28,EV,4567,N16149,EWR,MCI,183,1092,10,10,2013-12-23T15:00:00Z
2013,7,18,1317,1305,12,1420,1425,-5,WN,165,N936WN,EWR,BNA,102,748,13,5,2013-07-18T17:00:00Z
2013,7,22,104,1859,365,305,2121,344,FL,778,N969AT,LGA,ATL,102,762,18,59,2013-07-22T22:00:00Z
2013,1,4,1552,1510,42,1751,1710,41,MQ,4579,N508MQ,LGA,CLT,92,544,15,10,2013-01-04T20:00:00Z
2013,6,22,1558,1600,-2,1926,1935,-9,DL,141,N194DN,JFK,SFO,333,2586,16,0,2013-06-22T20:00:00Z
2013,5,27,639,645,-6,829,836,-7,US,1032,N163US,EWR,CLT,72,529,6,45,2013-05-27T10:00:00Z
2013,4,8,2026,2033,-7,7,24,-17,UA,1071,N68453,EWR,BQN,194,1585,20,33,2013-04-09T00:00:00Z
2013,8,21,557,600,-3,710,725,-15,AA,301,N478AA,LGA,ORD,105,733,6,0,2013-08-21T10:00:00Z
2013,8,29,1357,1359,-2,1624,1630,-6,DL,2247,N676DL,LGA,ATL,100,762,13,59,2013-08-29T17:00:00Z
2013,8,20,650,646,4,929,942,-13,UA,671,N818UA,EWR,SEA,318,2402,6,46,2013-08-20T10:00:00Z
2013,12,16,949,950,-1,1107,1115,-8,WN,218,N938WN,LGA,MKE,113,738,9,50,2013-12-16T14:00:00Z
2013,1,2,1730,1729,1,2039,2100,-21,UA,512,N502UA,JFK,SFO,328,2586,17,29,2013-01-02T22:00:00Z
2013,5,1,1253,1300,-7,1412,1410,2,US,2175,N769US,LGA,DCA,44,214,13,0,2013-05-01T17:00:00Z
2013,6,3,953,955,-2,1110,1140,-30,AA,319,N4UCAA,LGA,ORD,111,733,9,55,2013-06-03T13:00:00Z
2013,11,21,1524,1530,-6,1928,1901,27,DL,417,N189DN,JFK,LAX,376,2475,15,30,2013-11-21T20:00:00Z
2013,3,9,823,813,10,956,1018,-22,EV,4315,N34111,EWR,MYR,73,550,8,13,2013-03-09T13:00:00Z
2013,11,22,1803,1813,-10,1927,1934,-7,EV,4131,N14148,EWR,RIC,48,277,18,13,2013-11-22T23:00:00Z
2013,9,25,1541,1545,-4,1810,1805,5,DL,1942,N302NB,EWR,ATL,111,746,15,45,2013-09-25T19:00:00Z
2013,9,30,1454,1500,-6,1737,1804,-27,DL,1935,N347NB,LGA,TPA,139,1010,15,0,2013-09-30T19:00:00Z
2013,3,14,1656,1615,41,1835,1812,23,EV,4092,N13903,EWR,DAY,82,533,16,15,2013-03-14T20:00:00Z
2013,2,10,1811,1745,26,2116,2055,21,AA,785,N3GRAA,LGA,DFW,226,1389,17,45,2013-02-10T22:00:00Z
2013,1,1,1945,1940,5,2247,2231,16,9E,3361,N913XJ,JFK,JAX,129,828,19,40,2013-01-02T00:00:00Z
2013,10,16,938,850,48,1232,1141,51,B6,189,N807JB,JFK,SAN,333,2446,8,50,2013-10-16T12:00:00Z
2013,10,3,1630,1555,35,1823,1805,18,MQ,3075,N636MQ,JFK,CVG,93,589,15,55,2013-10-03T19:00:00Z
2013,10,31,1403,1355,8,1702,1717,-15,UA,1663,N36247,EWR,SFO,341,2565,13,55,2013-10-31T17:00:00Z
2013,10,21,1154,1159,-5,1256,1309,-13,MQ,3386,N808MQ,JFK,DCA,39,213,11,59,2013-10-21T15:00:00Z
2013,12,3,702,700,2,1041,1030,11,DL,2002,N624AG,JFK,SLC,304,1990,7,0,2013-12-03T12:00:00Z
2013,4,14,1919,1925,-6,2259,2225,34,DL,1485,N979DL,LGA,MCO,172,950,19,25,2013-04-14T23:00:00Z
2013,5,10,1449,1444,5,1854,1844,10,B6,705,N534JB,JFK,SJU,207,1598,14,44,2013-05-10T18:00:00Z
2013,5,21,653,653,0,941,1006,-25,UA,743,N828UA,EWR,LAX,320,2454,6,53,2013-05-21T10:00:00Z
2013,9,22,1859,1814,45,2030,1956,34,UA,1053,N27477,EWR,CLE,65,404,18,14,2013-09-22T22:00:00Z
2013,9,20,1613,1615,-2,1727,1747,-20,B6,2302,N216JB,JFK,BUF,54,301,16,15,2013-09-20T20:00:00Z
2013,10,22,1832,1835,-3,2136,2138,-2,DL,1576,N3745B,JFK,SAN,332,2446,18,35,2013-10-22T22:00:00Z
2013,7,16,1946,1955,-9,2135,2145,-10,MQ,3374,N836MQ,JFK,RDU,68,427,19,55,2013-07-16T23:00:00Z
2013,3,17,1215,1200,15,1332,1315,17,MQ,4425,N856MQ,JFK,DCA,57,213,12,0,2013-03-17T16:00:00Z
2013,10,7,2000,1759,121,2237,2052,105,B6,299,N615JB,LGA,MCO,140,950,17,59,2013-10-07T21:00:00Z
2013,8,23,1406,1347,19,1713,1644,29,DL,1685,N918DE,LGA,MCO,133,950,13,47,2013-08-23T17:00:00Z
2013,5,31,2112,2105,7,2300,2305,-5,MQ,4573,N721MQ,LGA,DTW,78,502,21,5,2013-06-01T01:00:00Z
2013,7,2,1926,1905,21,2202,2108,54,9E,3525,N935XJ,JFK,ORD,123,740,19,5,2013-07-02T23:00:00Z
2013,4,3,1905,1905,0,2027,2045,-18,WN,3696,N782SA,LGA,MKE,119,738,19,5,2013-04-03T23:00:00Z
2013,7,31,1145,1155,-10,1321,1310,11,MQ,3461,N532MQ,LGA,BNA,104,764,11,55,2013-07-31T15:00:00Z
2013,2,13,1219,1220,-1,1519,1532,-13,B6,209,N607JB,JFK,LGB,331,2465,12,20,2013-02-13T17:00:00Z
2013,11,6,1939,1932,7,2231,2234,-3,UA,1225,N36469,EWR,PBI,135,1023,19,32,2013-11-07T00:00:00Z
2013,8,2,1915,1830,45,2207,2140,27,B6,305,N594JB,EWR,FLL,140,1065,18,30,2013-08-02T22:00:00Z
2013,10,25,1601,1600,1,1851,1847,4,B6,543,N569JB,EWR,PBI,147,1023,16,0,2013-10-25T20:00:00Z
2013,5,1,1930,1935,-5,2137,2155,-18,9E,3798,N8891A,JFK,CLT,80,541,19,35,2013-05-01T23:00:00Z
